Trade_open,Trade_close,Session,Position,Bias,Profile,Entry,Confirmation,Fvg_level,Stop_loss_pips,Take_profit_pips,Risk_to_reward,Risk_usd,Profit_loss,Trail_stop,Outcome,Balance,Duration,Duration_binned,Time_window,Day,Month,Year,Stop_loss_binned,Take_profit_binned,Risk_usd_binned,Risk_to_reward_binned
2025-01-22 13:30:56,2025-01-22 13:37:31,ny am,buy,olhc,london reversal,brkr,eq,,13.0,40.0,3.07692,26.0,-26.0,no,loss,3165.35,0 days 00:06:35,below_2_hrs,12:00-16:00,Wednesday,January,2025,above_12_pips,above_35_pips,above_$25,2.6_to_3.2_rr
2025-01-28 14:28:19,2025-01-28 14:51:43,ny am,buy,olhc,ny reversal,brkr,eq,,10.0,20.0,2.0,20.0,-20.0,no,loss,3145.35,0 days 00:23:24,below_2_hrs,12:00-16:00,Tuesday,January,2025,below_10_pips,below_21_pips,below_$20,0_to_2_rr
2025-01-29 14:20:11,2025-01-29 14:24:59,ny am,sell,ohlc,london reversal,brkr,fvg,low,8.0,15.0,1.875,16.0,-16.0,no,loss,3129.35,0 days 00:04:48,below_2_hrs,12:00-16:00,Wednesday,January,2025,below_10_pips,below_21_pips,below_$20,0_to_2_rr
2025-01-30 13:30:36,2025-01-30 13:31:42,ny am,buy,olhc,london reversal,brkr,fvg,low,10.0,20.0,2.0,20.0,-20.0,no,loss,3109.35,0 days 00:01:06,below_2_hrs,12:00-16:00,Thursday,January,2025,below_10_pips,below_21_pips,below_$20,0_to_2_rr
2025-02-10 13:14:25,2025-02-10 14:28:37,ny am,sell,ohlc,london reversal,brkr,fvg,low,10.0,22.0,2.2,20.0,44.0,yes,win,3153.35,0 days 01:14:12,below_2_hrs,12:00-16:00,Monday,February,2025,below_10_pips,21_to_35_pips,below_$20,2_to_2.6_rr
2025-02-13 14:47:20,2025-02-13 14:50:33,ny am,sell,ohlc,london reversal,brkr,fvg,medium,10.0,36.0,3.6,20.0,-20.0,no,loss,3133.35,0 days 00:03:13,below_2_hrs,12:00-16:00,Thursday,February,2025,below_10_pips,above_35_pips,below_$20,above_3.2_rr
2025-02-13 14:56:00,2025-02-13 15:02:16,ny am,sell,ohlc,london reversal,brkr,fvg,medium,10.0,43.0,4.3,20.0,-20.0,no,loss,3113.35,0 days 00:06:16,below_2_hrs,12:00-16:00,Thursday,February,2025,below_10_pips,above_35_pips,below_$20,above_3.2_rr
2025-02-19 13:45:23,2025-02-19 15:07:21,ny am,sell,ohlc,london reversal,brkr,fvg,low,8.0,21.0,2.625,16.0,-16.0,no,loss,3097.35,0 days 01:21:58,below_2_hrs,12:00-16:00,Wednesday,February,2025,below_10_pips,below_21_pips,below_$20,2.6_to_3.2_rr
2025-02-27 13:24:10,2025-02-27 13:30:02,ny am,sell,ohlc,london reversal,brkr,fvg,low,10.0,26.0,2.6,20.0,-20.0,no,loss,3077.35,0 days 00:05:52,below_2_hrs,12:00-16:00,Thursday,February,2025,below_10_pips,21_to_35_pips,below_$20,2_to_2.6_rr
2025-03-04 15:11:43,2025-03-04 15:29:17,ny am,sell,ohlc,ny reversal,brkr,fvg,medium,10.0,30.0,3.0,20.0,0.0,yes,win,3077.35,0 days 00:17:34,below_2_hrs,12:00-16:00,Tuesday,March,2025,below_10_pips,21_to_35_pips,below_$20,2.6_to_3.2_rr
